"","State_UT","fiscal_year","State_Govt","Central_Govt","Same_Gov","Population","I: DEVELOPMENTAL EXPENDITURE (A + B)","I: TAX REVENUE (A+B)","I.1: Development (a + b)","I.1.a.2: Medical and Public Health","I.1.a.6: Urban Development","I.1.b.2: Rural Development","I.1.b.10: General Economic Services (i + ii)","I.1.b.7.i: Roads and Bridges","I.6: WMA from RBI","I.A.1: Taxes on Income (i+ii)","I.A.3.i.a: Central Sales Tax","I.A.3.i.b: State Sales Tax/VAT","I.A.3.vii: State Goods and Services Tax","I.B: Share in Central Taxes (i to ix)","I.B.i: Central Goods and Services Tax (CGST)","I.B.iii: Income Tax","II: NON-DEVELOPMENTAL EXPENDITURE (General Services) (A to F)","II: NON-TAX REVENUE (C+D)","II.2: Central Plan Schemes","II.3: Centrally Sponsored Schemes","II.D.5.c.1: GST compensation","II.D.5.c.2: VAT compensation","II.D.5.c.3: Central sales tax compensation","Total: TOTAL EXPENDITURE (I+II+III)","Total: TOTAL REVENUE (I+II)"
"11","Andhra Pradesh","2000-2001","TDP","BJP",0,76210,14371.15,14531.23,2672.95,47.94,7.5,379.22,1.97,778.78,0,137.92,981.63,6214.47,0,3979.31,0,0,8534.92,4944.01,0.02,5.75,0,0,0,23070.36,19475.24
"12","Andhra Pradesh","2001-2002","TDP","BJP",0,76210,15160.47,15612.1,3019.26,53.31,0,452.69,74.98,758.46,0,1137.17,646.07,7016.01,0,3048.44,0,0,9286.33,6232.95,0,7.3,0,0,0,24726.33,21845.05
"13","Andhra Pradesh","2002-2003","TDP","BJP",0,76210,14986.79,16933.36,3517.67,33.47,0,278.2,94.8,854.67,0,158.3,580.75,7731.39,0,4315.81,0,0,10807.71,6069.56,0,3.93,0,0,0,26056.89,23002.92
"14","Andhra Pradesh","2003-2004","TDP","BJP",0,76210,17619.4,18874.44,3989.96,8.23,0,241.18,73.72,549.93,7356.11,168.35,791.23,8376.39,0,5068.53,0,0,11930.86,7994.04,0,6.8,0,0,0,29830.13,26868.48
"15","Andhra Pradesh","2004-2005","Congress","Congress",1,76210,18139.94,22313.01,5134.36,15.1,0,180.21,-0.13,497.98,0,180.21,1051.96,9968.78,0,6058.51,0,0,12940.84,6436.49,0,10.2,0,0,0,31307.34,28749.51
"16","Andhra Pradesh","2005-2006","Congress","Congress",1,76210,21197.79,26158.26,7635.87,5.49,0,320.53,110.59,776.88,0,227.07,1017.37,11500.2,0,6950.86,0,0,13492.1,8692.93,0.02,15.4,0,0,0,34915.3,34851.2
"17","Andhra Pradesh","2006-2007","Congress","Congress",1,76210,25879.57,32792.21,9559.77,6.62,0,0,221.24,802.07,0,312.21,1244.41,14181.82,0,8866,0,1680.33,15313.99,11453.28,0,5.08,0,0,0,41438.39,44245.49
"18","Andhra Pradesh","2007-2008","Congress","Congress",1,84581,35564.49,39977.69,12738.16,43.03,0,0,351.75,792.17,0,355.72,1433.08,17537.89,0,11183.64,0,2382.28,18170.23,14164.86,0,9.29,0,0,0,53983.56,54142.55
"19","Andhra Pradesh","2008-2009","Congress","Congress",1,84581,42811.38,45159.79,10308.11,29.52,0,0,298.61,848.49,0,374.46,1255.19,20532.3,0,11801.5,0,2430.03,18730.15,17698.66,0,2.39,0,0,0,61854.22,62858.45
"20","Andhra Pradesh","2009-2010","Congress","Congress",1,84581,41969.89,47317.43,13701.52,39.85,0,0,508.51,1229.48,33.01,430.36,1362.08,22163.15,0,12141.71,0,2783.42,21391.68,17360.92,0,0,0,0,0,63447.93,64678.35
"21","Andhra Pradesh","2010-2011","Congress","Congress",1,84581,51660.29,60376.3,11014.83,17.43,0,0,207.42,1037.05,218.15,490.33,1701.61,27314.19,0,15236.74,0,3147.13,26708.39,20620.01,0,0.12,0,0,0,78534.26,80996.3
"22","Andhra Pradesh","2011-2012","Congress","Congress",1,84581,60326.18,71034.56,13638.41,73.33,0,0,702.23,1198.63,0,539.9,1658.14,33165.11,0,17751.14,0,3549.07,29874.19,22519.13,0,0,0,0,0,90415.36,93553.69
"23","Andhra Pradesh","2012-2013","Congress","Congress",1,84581,69480.24,80145.82,14937.49,81.71,0,0,984.74,2105.42,0,580.01,1931.53,38703.6,0,20270.77,0,4359.21,33063.7,23684.46,0,0,0,0,0,102702.38,103830.28
"24","Andhra Pradesh","2013-2014","Congress","Congress",1,84581,73258.41,86255.42,14970.68,161.78,0,0,990.92,2688.71,0,519.95,2252.34,46401.02,0,22131.89,0,4901.06,36898.54,24463.41,0,0,0,0,0,110374.49,110718.83
"25","Andhra Pradesh","2014-2015","TDP","BJP",0,84581,86149.13,57917.2665,10921.838,690.4204,145.3259,0,10.8508,2149.1915,6201.045,293.5415,1488.2171,28970.7972,0,15299.24,0,3795.83,28590.3,32755.1877,0,0,0,0,0,114865.71,90672.4542
"26","Andhra Pradesh","2015-2016","TDP","BJP",0,84581,67261.1306,61800.3312,13991.7937,261.9489,908.586,0,101.6208,2436.0261,31307.1312,250.3164,1224.4889,27810.2817,0,21893.79,0,4792.07,28572.9081,26847.4703,0,0,0,0,0,95949.6651,88647.8015
"27","Andhra Pradesh","2016-2017","TDP","BJP",0,84581,83298.8138,70445.2657,14885.5997,393.7044,430.5393,0,204.9574,2090.2047,29154.1622,253.867,1524.5022,30890.0546,0,26263.88,0,5847.52,32786.1409,28539.2207,0,0,0,0,0,116178.2112,98984.4864
"28","Andhra Pradesh","2017-2018","TDP","BJP",0,84581,82053.0203,78487.5724,13207.666,200.96,529.9666,869.3448,386.6726,369.09,230.47,245.0167,828.4402,24470.4199,13747.9868,26073.8375,409.4,7498.3,39074.7158,26574.5235,0,0,0,0,500.21,121213.7764,105062.0959
"29","Andhra Pradesh","2018-2019","TDP","BJP",0,84581,87738.3717,90818.0033,19701.342,168.7546,1227.9255,875.0327,793.6687,772.2886,139.2804,252.2719,383.8695,21527.9863,21257.0735,32141.23,8091.86,8396.65,40789.9464,23852.8534,0,0,0,0,0,128569.4528,114670.8567
"30","Andhra Pradesh","2019-2020","YSRCP","BJP",0,84581,92236.3101,85843.3215,8490.0964,119.7442,536.4825,821.6425,-41.7948,630.875,-369.73,246.5001,308.5433,21085.1907,20227.0382,28242.39,8014.29,7545.4,45222.3578,25190.6951,0,0,0,0,20,137474.5394,111034.0166
"31","Andhra Pradesh","2020-2021","YSRCP","BJP",0,84581,103666.5247,81869.1392,12477.1027,449.851,287.6232,1734.6918,210.5312,738.0933,0,270.0507,188.2911,17610.5546,18871.3472,24460.59,7223.87,7603.75,48990.3763,35267.0364,0,0,NA,NA,NA,152676.6365,117136.1756
"32","Andhra Pradesh","2021-2022","YSRCP","BJP",0,84581,103019.427,106365.3267,14384.2991,1033.1848,406.31,699.2655,468.238,419.3067,0,271.8348,585.0545,20222.579,23809.4285,35385.83,10452.88,10665.89,56124.1906,44187.1636,0,0,NA,NA,NA,159163.3055,150552.4903
"33","Andhra Pradesh","2022-2023","YSRCP","BJP",0,84581,154108.6507,124099.6078,29423.9466,3729.0094,1612.2939,1751.0785,705.09,2713.4205,2416,284.9362,1019.6856,27460.7478,29024.8653,33081.7619,10851.95,9966.57,54127.6051,67125.5022,0,0,NA,NA,NA,208261.2559,191225.11
"34","Andhra Pradesh","2023-2024","YSRCP","BJP",0,84581,161484.4152,143989.37,29866.8933,2816.5161,1632.0424,1876.5456,868.3455,3357.156,0,521.3753,1480.5276,23920.8477,34249.35,41390.6206,13366.77,12871.86,67031.2967,62234.6408,0,0,NA,NA,NA,228540.7119,206224.0108
"35","Aruchal Pradesh","1990-1991","Congress","Samajwadi Janta Party",0,865,180.17,84.73,119.55,1.66,0.16,0.55,0.6,46.05,0,0,0,0.32,0,82.08,0,3.01,77.97,273.49,0,0.74,0,0,0,258.14,358.22
"36","Aruchal Pradesh","1991-1992","Congress","Congress",1,865,203.43,101.51,132.38,2.68,0.28,1.07,1.17,54.11,0,0,0,0.43,0,97.42,0,3.68,84.1,344.21,0.05,1.15,0,0,0,287.53,445.72
"37","Aruchal Pradesh","1992-1993","Congress","Congress",1,865,244.94,120.37,147.3,1.46,0.29,1.15,0.71,58.79,0,0,0,0.5,0,115.92,0,3.97,95.19,382.81,0.12,0,0,0,0,340.13,503.18
"38","Aruchal Pradesh","1993-1994","Congress","Congress",1,865,296.65,121.53,157.36,1.93,0.32,1.25,0.91,64.99,0,0,0,0.7,0,117.9,0,6.16,102.23,424.89,0,0.38,0,0,0,398.88,546.42
"39","Aruchal Pradesh","1994-1995","Congress","Congress",1,865,315.42,137.45,232.6,2.71,0.34,1.39,1.13,75.49,0,0,0,0,0,131.85,0,6.25,123.46,468.01,0.16,0.36,0,0,0,438.88,605.46
"40","Aruchal Pradesh","1995-1996","Congress","Congress",1,865,366,132.21,276.43,4.42,3.16,2.41,1.78,87.87,0,0,0,0.34,0,124.54,0,18.8,141.27,621.56,0,0.65,0,0,0,507.27,753.77
"41","Aruchal Pradesh","1996-1997","Congress","Jata Dal",0,1098,434.98,187.58,267.97,7.37,2.85,1.85,2.35,106.63,0,0,0,0.4,0,179.05,0,23.02,167.25,621.39,0.3,0,0,0,0,602.23,808.97
"42","Aruchal Pradesh","1997-1998","Congress","Jata Dal",0,1098,468.35,253.68,277.86,6.45,3.16,1.99,1.86,115.89,0,0,0,0.32,0,243.85,0,35.88,196.54,583.51,0,0,0,0,0,664.89,837.19
"43","Aruchal Pradesh","1998-1999","Congress","BJP",0,1098,515.01,280.15,217.12,1.36,2.72,1.18,0.71,88.35,0,0,0,0.28,0,268.86,0,24.65,231.49,643.42,0.12,0,0,0,0,746.5,923.57
"44","Aruchal Pradesh","1999-2000","Congress","BJP",0,1098,549.98,354.64,242.84,2.46,1.6,0.76,0.48,88.38,0,0,0,0.35,0,340.77,0,30.25,271.04,665.35,0,0.22,0,0,0,821.02,1019.99
"45","Aruchal Pradesh","2000-2001","Congress","BJP",0,1098,577.59,136.36,244.99,6.27,2.44,0.7,1.66,89.61,0,0,0,8.19,0,115.67,0,0,330.86,824.03,0,0.27,0,0,0,908.45,960.39
"46","Aruchal Pradesh","2001-2002","Congress","BJP",0,1098,691.86,94.36,279.47,5.9,3.08,0.78,1.83,94.43,0,0,0,16.78,0,60.18,0,0,337.96,963.48,0,0.2,0,0,0,1029.82,1057.84
"47","Aruchal Pradesh","2002-2003","Congress","BJP",0,1098,666.83,158.94,271.86,4.09,3.69,0.6,1.61,70.35,0,0,0,17.62,0,122.4,0,0,364.56,949.35,2.53,0.55,0,0,0,1031.39,1108.29
"48","Aruchal Pradesh","2003-2004","United democratic front","BJP",0,1098,953.69,204.33,418.28,8.77,8.2,0.75,2.67,102.1,0,0,0,21.79,0,161.21,0,0,438.19,1372.03,0,0.74,0,0,0,1391.89,1576.36
"49","Aruchal Pradesh","2004-2005","United democratic front","Congress",0,1098,1020.62,242.06,360.54,16.93,4.45,0.04,7.25,81.23,191.87,0,0,28.25,0,192.57,0,0,489.02,1259.78,0,2.55,0,0,0,1509.64,1501.84
"50","Aruchal Pradesh","2005-2006","United democratic front","Congress",0,1098,1178.91,334.24,421.55,5.1,21.84,2.41,21.79,93.01,243.7,0,0,47.69,0,272.53,0,0,488.73,1515.17,0,1.88,0,0,0,1667.64,1849.41
"51","Aruchal Pradesh","2006-2007","United democratic front","Congress",0,1098,1337.64,425.38,563.58,30.25,28.8,0.92,15.15,180.62,69.97,0,0,61.64,0,347.19,0,65.79,559.6,2166.79,0,0.5,0,0,0,1897.23,2592.18
"52","Aruchal Pradesh","2007-2008","Congress","Congress",1,1098,1639.48,535.96,703.97,13.79,52.09,1.1,19.47,169.79,0,0,0,77.06,0,437.89,0,93.27,620.07,2467.05,0,5.3,0,0,0,2259.55,3003.01
